Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Variant Id,Variant Title,Variant SKU,Variant Allow Backorder,Variant Manage Inventory,Variant Price USD
prod_4j1g3vlt6k2ng93erye4j6p936,rma-1780293865875-h_pgk4,RMA_1780293865875,,,draft,,variant_59fxtu8e52qoesrze68a1ws5q2,Default,RMA_1780293866002,FALSE,TRUE,
prod_yrmb4heotw3gjuh9wykvlomojn,t1,测试产品_T1,,,draft,,,,,,,
prod_0cn4d3jpzd1spjmm64gdhkziun,search-test-1779967664527,SEARCH_TEST_1779967664527,,,draft,,,,,,,
prod_y879lnqfwar0x9hced1numeqgf,handle_zkvz29boj16bnhyu6uesd0l6ze,详情测试,,,draft,,,,,,,
prod_orwmvw6zyd0o60g73zlb1fa5lb,handle_558a22ro6pv6m4hnnxtve9ley0,更新前,,,draft,,,,,,,
prod_yoqjierp40v9nskt106ryit0v1,handle_q0zo7du42fjewmeo51kj2riq4o,待删除,,,draft,,,,,,,
prod_g9zo40hlamtleastbq2jstwkrk,handle_chzfettvu6s10kyocdx2ssyxpi,变体测试产品,,,draft,,variant_8tnqxjlhyh6f9fh64wamijhunf,Red Variant,SKU_1779967668682,FALSE,TRUE,
prod_g9zo40hlamtleastbq2jstwkrk,handle_chzfettvu6s10kyocdx2ssyxpi,变体测试产品,,,draft,,variant_0eh5mub6md75ofqp18t42muu72,Updated,,FALSE,TRUE,
prod_g9zo40hlamtleastbq2jstwkrk,handle_chzfettvu6s10kyocdx2ssyxpi,变体测试产品,,,draft,,variant_txme0zzmakdxdldlmafq657x6j,Batch Created,BATCH_1779967669876,FALSE,TRUE,
prod_f09kmcjen7wkl9t8qrwtbd3u17,handle_p6m0pgpzqbzxlfavhznlmjvt9z,选项测试产品,,,draft,,,,,,,
prod_4n22blb0qub0gdacbtdsnwma9b,rma-1780293919715-h_u0wv,RMA_1780293919715,,,draft,,variant_ficcuq9pcrk1i2qjbyeweywtl5,Default,RMA_1780293919846,FALSE,TRUE,
prod_ei6nw1eey2q8900r8j0q8mny2x,1779967935936,测试产品_1779967935936,,,draft,,,,,,,
prod_xruzv9qkwfqsa2f1dgcnczh9j3,1779968011054-h_tcl5,测试产品_1779968011054,,,draft,,,,,,,
prod_07krgom39el877vp9jvhg4vxhq,rma-1780293930491-h_gq1j,RMA_1780293930491,,,draft,,variant_304egdsqo2wcqs7lzl5pxfq2k4,Default,RMA_1780293930605,FALSE,TRUE,
