Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Variant Id,Variant Title,Variant SKU,Variant Allow Backorder,Variant Manage Inventory,Variant Price USD
prod_01KSH32ARCQV7657K51KFCM65M,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,variant_01KSH32DX532F47DYGKJB1R4GG,S / Black,SHIRT-S-BLACK,FALSE,TRUE,
prod_01KSH32ARCQV7657K51KFCM65M,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,variant_01KSH32DX51BFTW19EC5VYSED0,S / White,SHIRT-S-WHITE,FALSE,TRUE,
prod_01KSH32ARCQV7657K51KFCM65M,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,variant_01KSH32DX5JQMQW2Y20JV34Y5N,M / Black,SHIRT-M-BLACK,FALSE,TRUE,
prod_01KSH32ARCQV7657K51KFCM65M,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,variant_01KSH32DX681S00F4XESBT05MD,M / White,SHIRT-M-WHITE,FALSE,TRUE,
prod_01KSH32ARCQV7657K51KFCM65M,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,variant_01KSH32DX62B9941S5XETGT3YN,L / Black,SHIRT-L-BLACK,FALSE,TRUE,
prod_01KSH32ARCQV7657K51KFCM65M,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,variant_01KSH32DX6Q1RD5BPGWNC312M2,L / White,SHIRT-L-WHITE,FALSE,TRUE,
prod_01KSH32ARCQV7657K51KFCM65M,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,variant_01KSH32DX6YNWF1DWN0RV05TKR,XL / Black,SHIRT-XL-BLACK,FALSE,TRUE,
prod_01KSH32ARCQV7657K51KFCM65M,t-shirt,Medusa T-Shirt,,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,variant_01KSH32DX7RJAS0F93046X1XXG,XL / White,SHIRT-XL-WHITE,FALSE,TRUE,
prod_01KSH32ARDVKST6V1PS2AM6FNS,sweatshirt,Medusa Sweatshirt,,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,variant_01KSH32DX7YXHZGVZVJZCXH0MZ,S,SWEATSHIRT-S,FALSE,TRUE,
prod_01KSH32ARDVKST6V1PS2AM6FNS,sweatshirt,Medusa Sweatshirt,,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,variant_01KSH32DX7VTNJ0ND5F73P03DM,M,SWEATSHIRT-M,FALSE,TRUE,
